Protocol,SrcIPAddress,SrcPort,DstPort,Direction,Dst,Purpose
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zertodownloads.s3.amazonaws.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zertodownloads.s3.us-east-1.amazonaws.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zapps.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,keyserver.ubuntu.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ppa.launchpad.net,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ppa.launchpad.net/ansible/ansible/ubuntu,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,httpredir.debian.org,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,security.debian.org,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,api.snapcraft.io,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,snapcraft.io/microk8s,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,snapcraftcontent.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,pypi.org,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zapps-registry.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zvml-upgrade.s3.amazonaws.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ch3.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,google-analytics.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,autologs.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zerto-mobile-data.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zerto-msgs-for-sites.saas.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zvm-control.api.zerto.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,k8s.gcr.io,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,registry.k8s.io,
HTTPS/HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443/80,outbound,keyserver.ubuntu.com,protocol: HKP
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zlogs-emea.s3.amazonaws.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zlogs-us.s3.amazonaws.com,
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,zerto-msgs-for-sites.saas.zerto.com,
